,A_FIVE_AC,A_FIVE_AF,A_FIVE_AR,A_FIVE_AS,A_FIVE_AST,A_FIVE_AY,A_FIVE_FTAG,A_FIVE_FTHG,A_FIVE_FTR_A,A_FIVE_FTR_D,A_FIVE_FTR_H,A_FIVE_HC,A_FIVE_HF,A_FIVE_HR,A_FIVE_HS,A_FIVE_HST,A_FIVE_HTAG,A_FIVE_HTHG,A_FIVE_HTR_A,A_FIVE_HTR_D,A_FIVE_HTR_H,A_FIVE_HY,A_THREE_AC,A_THREE_AF,A_THREE_AR,A_THREE_AS,A_THREE_AST,A_THREE_AY,A_THREE_FTAG,A_THREE_FTHG,A_THREE_FTR_A,A_THREE_FTR_D,A_THREE_FTR_H,A_THREE_HC,A_THREE_HF,A_THREE_HR,A_THREE_HS,A_THREE_HST,A_THREE_HTAG,A_THREE_HTHG,A_THREE_HTR_A,A_THREE_HTR_D,A_THREE_HTR_H,A_THREE_HY,H_FIVE_AC,H_FIVE_AF,H_FIVE_AR,H_FIVE_AS,H_FIVE_AST,H_FIVE_AY,H_FIVE_FTAG,H_FIVE_FTHG,H_FIVE_FTR_A,H_FIVE_FTR_D,H_FIVE_FTR_H,H_FIVE_HC,H_FIVE_HF,H_FIVE_HR,H_FIVE_HS,H_FIVE_HST,H_FIVE_HTAG,H_FIVE_HTHG,H_FIVE_HTR_A,H_FIVE_HTR_D,H_FIVE_HTR_H,H_FIVE_HY,H_THREE_AC,H_THREE_AF,H_THREE_AR,H_THREE_AS,H_THREE_AST,H_THREE_AY,H_THREE_FTAG,H_THREE_FTHG,H_THREE_FTR_A,H_THREE_FTR_D,H_THREE_FTR_H,H_THREE_HC,H_THREE_HF,H_THREE_HR,H_THREE_HS,H_THREE_HST,H_THREE_HTAG,H_THREE_HTHG,H_THREE_HTR_A,H_THREE_HTR_D,H_THREE_HTR_H,H_THREE_HY,INFO_AwayTeam,INFO_BbAvA,INFO_BbAvD,INFO_BbAvH,INFO_Date,INFO_Div,INFO_FTAG,INFO_FTHG,INFO_FTR,INFO_HTR,INFO_HomeTeam,INFO_PSA,INFO_PSD,INFO_PSH,INFO_WIN,pred
4989,4.6,12.6,0.2,11.0,5.8,1.8,1.8,2.4,0.4,0.0,0.6,6.8,8.4,0.0,14.4,8.8,1.0,1.0,0.4,0.0,0.6,1.0,5.33,12.0,0.33,10.0,4.67,1.33,2.0,1.67,0.67,0.0,0.33,6.0,10.67,0.0,14.0,8.0,1.33,0.33,0.67,0.0,0.33,1.33,5.8,9.8,0.0,8.2,3.8,1.2,1.0,1.0,0.2,0.4,0.4,6.2,10.2,0.0,9.6,4.6,0.8,0.2,0.6,0.4,0.0,1.4,7.0,10.0,0.0,8.0,2.67,1.0,0.33,1.0,0.0,0.33,0.67,5.67,9.33,0.0,8.0,4.33,0.33,0.0,0.33,0.67,0.0,0.67,Barnsley,2.73,3.26,2.5,2012-01-02,E1,0.0,2.0,H,H,Doncaster,,,,1.5,True
4998,5.2,11.0,0.0,8.8,4.4,2.0,1.8,1.0,0.6,0.2,0.2,7.8,11.4,0.2,11.4,5.6,0.6,0.4,0.4,0.4,0.2,2.0,5.67,10.67,0.0,6.67,3.67,1.67,1.33,0.67,0.67,0.0,0.33,7.33,10.33,0.0,9.33,5.0,0.33,0.33,0.33,0.33,0.33,1.67,8.4,11.0,0.2,11.4,8.2,2.4,1.8,2.2,0.0,0.6,0.4,9.6,9.6,0.0,13.8,7.4,1.4,0.8,0.6,0.2,0.2,1.6,7.67,9.67,0.0,9.67,7.0,2.0,1.67,2.0,0.0,0.67,0.33,11.67,9.33,0.0,14.0,8.67,1.67,1.0,0.67,0.0,0.33,1.33,Sheffield United,2.5,3.22,2.69,2012-01-02,E2,2.0,3.0,H,D,Carlisle,,,,1.69,True
5001,1.8,8.8,0.4,7.2,3.0,1.4,1.0,0.8,0.2,0.8,0.0,9.0,8.4,0.0,13.4,7.4,0.6,0.4,0.2,0.8,0.0,1.4,2.67,9.33,0.33,9.33,4.33,0.33,1.0,0.67,0.33,0.67,0.0,8.0,9.0,0.0,14.0,7.67,0.67,0.33,0.33,0.67,0.0,0.67,7.4,10.0,0.0,11.0,7.2,0.6,1.0,1.2,0.2,0.4,0.4,4.6,10.6,0.0,8.0,4.0,0.6,0.4,0.2,0.6,0.2,1.0,8.0,8.0,0.0,10.67,6.67,0.67,0.0,1.0,0.0,0.67,0.33,4.33,10.0,0.0,8.0,4.0,0.0,0.33,0.0,0.67,0.33,0.33,Yeovil,3.34,3.27,2.09,2012-01-02,E2,1.0,1.0,D,A,Exeter,,,,-1.0,True
5011,3.8,9.4,0.0,8.0,4.0,1.6,0.6,1.0,0.2,0.2,0.6,7.6,8.2,0.0,13.2,6.4,0.4,0.0,0.2,0.8,0.0,1.0,4.0,12.0,0.0,8.67,4.33,2.0,0.0,1.33,0.0,0.33,0.67,7.33,9.33,0.0,13.67,7.33,0.0,0.0,0.0,1.0,0.0,1.0,6.8,6.2,0.0,10.0,5.8,1.6,0.8,1.0,0.4,0.2,0.4,4.2,9.2,0.0,11.2,5.0,0.2,0.2,0.2,0.6,0.2,1.6,6.0,5.33,0.0,9.67,5.0,1.0,0.33,0.67,0.33,0.33,0.33,3.33,8.33,0.0,11.0,5.0,0.0,0.0,0.0,1.0,0.0,1.33,Millwall,3.43,3.23,2.13,2012-01-03,E1,0.0,1.0,H,D,Bristol City,,,,1.13,True
5016,6.2,9.4,0.2,10.4,3.8,1.8,1.4,2.8,0.0,0.4,0.6,6.4,9.4,0.0,15.6,8.8,1.0,1.0,0.4,0.2,0.4,2.4,6.67,10.0,0.33,11.67,3.0,2.33,0.33,2.67,0.0,0.0,1.0,4.0,7.0,0.0,15.33,8.0,0.33,1.0,0.0,0.33,0.67,2.67,5.2,7.8,0.0,8.0,4.6,0.8,1.6,1.2,0.4,0.6,0.0,8.2,10.2,0.0,13.0,6.8,1.0,0.6,0.4,0.6,0.0,0.8,5.33,6.67,0.0,9.0,4.67,0.67,1.0,0.67,0.33,0.67,0.0,7.67,10.67,0.0,12.0,6.33,0.67,0.33,0.33,0.67,0.0,1.0,Exeter,3.13,3.26,2.2,2012-01-07,E2,2.0,0.0,A,D,Chesterfield,,,,-1.0,True
5023,4.0,12.6,0.2,10.0,3.2,1.8,1.0,2.0,0.0,0.2,0.8,7.8,13.0,0.0,17.2,6.6,0.4,0.8,0.2,0.4,0.4,1.4,4.33,10.0,0.33,7.33,2.0,1.33,1.0,2.0,0.0,0.0,1.0,6.67,14.0,0.0,17.33,6.33,0.33,0.33,0.33,0.33,0.33,1.67,6.0,15.4,0.0,14.6,5.8,1.6,2.0,1.2,0.6,0.2,0.2,4.6,18.2,0.0,9.8,3.0,1.0,0.6,0.2,0.8,0.0,2.8,5.0,16.0,0.0,13.0,4.67,2.33,1.67,1.67,0.33,0.33,0.33,6.0,19.0,0.0,9.67,3.33,0.67,0.67,0.0,1.0,0.0,3.0,Auxerre,2.59,3.07,2.79,2012-01-14,F1,1.0,2.0,H,H,Ajaccio,,,,1.79,True
5028,6.0,18.4,0.0,13.2,3.6,1.8,1.2,1.2,0.4,0.0,0.6,7.4,13.8,0.0,11.8,3.6,0.6,0.8,0.2,0.4,0.4,1.6,5.67,18.33,0.0,14.0,3.67,1.67,1.33,0.33,0.67,0.0,0.33,6.67,12.67,0.0,10.0,2.0,0.33,0.33,0.33,0.33,0.33,1.33,3.8,16.8,0.2,10.0,2.4,1.6,0.8,2.6,0.0,0.2,0.8,3.6,16.8,0.0,15.2,5.6,0.6,0.6,0.2,0.6,0.2,1.8,4.0,18.0,0.33,8.0,0.67,1.67,0.33,2.0,0.0,0.33,0.67,3.33,14.33,0.0,13.0,4.67,0.33,0.67,0.0,0.67,0.33,2.33,Lyon,2.72,3.05,2.66,2012-01-14,F1,0.0,1.0,H,D,Montpellier,,,,1.66,True
5039,4.8,9.8,0.0,13.6,7.8,2.0,1.2,1.2,0.4,0.2,0.4,4.2,12.2,0.0,10.8,4.6,0.4,0.4,0.2,0.6,0.2,0.8,5.33,10.0,0.0,15.33,9.67,2.67,0.67,1.0,0.33,0.0,0.67,4.33,13.67,0.0,11.0,4.33,0.0,0.0,0.0,1.0,0.0,1.33,7.8,12.2,0.2,12.8,6.8,2.0,0.4,1.6,0.2,0.0,0.8,4.4,6.4,0.6,8.0,4.0,0.4,0.6,0.2,0.4,0.4,0.8,9.0,10.67,0.33,12.67,7.33,1.33,0.33,1.33,0.33,0.0,0.67,3.67,6.33,1.0,7.0,3.33,0.33,0.0,0.33,0.67,0.0,1.33,Bristol City,3.14,3.24,2.25,2012-01-14,E1,0.0,2.0,H,H,Brighton,,,,1.25,True
5044,3.8,8.6,0.2,9.4,5.0,1.2,1.4,2.0,0.2,0.4,0.4,7.2,9.2,0.0,17.4,9.0,0.6,1.0,0.0,0.6,0.4,1.0,2.67,7.67,0.33,8.67,4.67,1.33,1.67,2.0,0.33,0.33,0.33,6.67,9.33,0.0,17.0,8.67,0.67,1.0,0.0,0.67,0.33,1.33,7.0,12.0,0.0,11.4,6.6,1.4,2.2,1.4,0.8,0.0,0.2,7.0,8.8,0.0,14.4,8.2,1.0,0.2,0.4,0.4,0.2,1.0,5.67,13.0,0.0,13.33,7.67,1.67,1.67,1.0,0.67,0.0,0.33,7.67,10.0,0.0,15.67,8.67,0.67,0.33,0.33,0.33,0.33,0.67,Blackpool,2.4,3.32,2.83,2012-01-14,E1,2.0,2.0,D,H,Ipswich,,,,-1.0,True
5060,5.8,8.0,0.2,9.4,3.8,2.0,1.8,0.8,0.6,0.2,0.2,7.0,9.4,0.2,12.8,5.6,0.8,0.6,0.2,0.6,0.2,2.0,6.33,9.67,0.33,10.0,3.33,1.67,1.33,1.33,0.33,0.33,0.33,6.67,9.33,0.33,12.67,6.33,0.67,1.0,0.0,0.67,0.33,1.67,3.8,10.6,0.0,6.8,3.4,1.8,1.0,1.8,0.0,0.4,0.6,5.4,12.4,0.0,11.2,6.4,0.4,1.0,0.0,0.6,0.4,2.0,3.67,10.33,0.0,5.33,3.67,1.33,1.67,2.33,0.0,0.33,0.67,4.33,12.33,0.0,10.0,6.0,0.67,1.67,0.0,0.33,0.67,2.67,Charlton,2.92,3.25,2.32,2012-01-14,E2,1.0,0.0,A,A,Sheffield Weds,,,,-1.0,True
5061,5.4,10.4,0.2,9.2,6.0,1.2,1.2,2.2,0.2,0.0,0.8,3.4,14.2,0.2,8.6,5.6,0.4,1.2,0.0,0.4,0.6,1.6,6.33,9.0,0.0,6.0,4.33,1.0,0.67,2.33,0.0,0.0,1.0,3.67,15.0,0.33,9.0,5.67,0.0,1.33,0.0,0.0,1.0,1.33,7.4,10.0,0.0,8.8,3.0,1.6,1.8,1.2,0.6,0.2,0.2,5.6,13.6,0.0,7.4,3.4,1.0,0.4,0.4,0.6,0.0,3.4,7.0,10.33,0.0,10.33,3.33,1.67,2.0,1.33,0.67,0.0,0.33,4.67,13.33,0.0,6.67,3.0,1.0,0.33,0.33,0.67,0.0,3.67,Tranmere,2.73,3.2,2.49,2012-01-14,E2,1.0,2.0,H,D,Yeovil,,,,1.49,True
5062,5.2,13.8,0.0,13.2,5.4,1.2,1.2,0.6,0.4,0.6,0.0,4.4,20.4,0.0,11.4,2.6,0.4,0.6,0.0,0.8,0.2,2.4,5.67,15.33,0.0,14.0,5.0,1.33,1.0,0.67,0.33,0.67,0.0,3.67,20.67,0.0,10.33,2.0,0.67,0.67,0.0,1.0,0.0,2.67,3.2,17.4,0.4,6.8,1.8,2.6,0.2,1.8,0.0,0.2,0.8,7.0,13.8,0.0,19.4,7.2,0.0,0.4,0.0,0.6,0.4,2.0,3.33,16.67,0.67,6.0,1.33,2.33,0.33,1.67,0.0,0.33,0.67,5.67,14.0,0.0,14.67,4.33,0.0,0.33,0.0,0.67,0.33,2.33,Lille,3.39,3.16,2.18,2012-01-15,F1,0.0,2.0,H,D,Marseille,,,,1.18,True
5075,5.2,10.0,0.0,9.4,4.8,1.6,0.0,1.2,0.0,0.2,0.8,6.8,8.2,0.0,14.4,8.2,0.0,0.0,0.0,1.0,0.0,0.8,7.33,9.0,0.0,10.67,6.0,1.33,0.0,1.67,0.0,0.0,1.0,7.0,8.67,0.0,15.0,9.67,0.0,0.0,0.0,1.0,0.0,0.67,3.6,11.0,0.2,11.0,6.4,2.8,2.0,2.4,0.4,0.0,0.6,7.8,7.2,0.0,14.8,9.0,0.4,1.2,0.0,0.4,0.6,0.4,4.67,11.0,0.0,14.33,9.0,3.0,3.0,2.67,0.67,0.0,0.33,8.0,8.67,0.0,14.67,9.0,0.33,1.33,0.0,0.33,0.67,0.33,Millwall,3.28,3.21,2.18,2012-01-21,E1,3.0,1.0,A,A,Barnsley,,,,-1.0,True
5084,3.0,10.2,0.2,10.2,3.6,1.6,0.8,0.8,0.4,0.0,0.6,6.0,10.0,0.0,9.4,4.4,0.6,0.2,0.4,0.4,0.2,1.0,3.67,10.67,0.0,11.0,3.33,0.67,0.33,0.67,0.33,0.0,0.67,5.33,11.0,0.0,9.33,4.0,0.0,0.33,0.0,0.67,0.33,1.0,4.8,9.0,0.4,9.8,4.0,2.4,0.8,2.2,0.2,0.0,0.8,9.0,10.4,0.0,9.2,5.8,0.4,0.6,0.2,0.6,0.2,1.4,4.67,8.33,0.67,8.0,2.67,2.33,0.0,2.33,0.0,0.0,1.0,6.0,9.33,0.0,8.67,4.67,0.0,0.67,0.0,0.67,0.33,1.0,Hull,3.61,3.27,2.03,2012-01-21,E1,1.0,0.0,A,D,Reading,,,,-1.0,True
5089,5.2,9.6,0.0,8.6,5.4,1.2,1.8,1.0,0.6,0.0,0.4,6.2,9.8,0.0,8.4,4.6,0.6,0.6,0.2,0.6,0.2,1.2,4.67,9.33,0.0,8.67,6.0,1.33,2.33,1.0,0.67,0.0,0.33,5.67,9.33,0.0,7.0,3.67,1.0,0.67,0.33,0.67,0.0,1.33,5.2,11.4,0.2,8.2,4.4,1.4,0.6,2.8,0.0,0.2,0.8,3.8,11.6,0.0,9.8,6.2,0.0,2.0,0.0,0.2,0.8,1.4,5.67,12.67,0.0,7.67,4.0,0.67,0.33,1.67,0.0,0.33,0.67,3.0,12.33,0.0,8.33,4.67,0.0,1.0,0.0,0.33,0.67,1.67,Sheffield United,3.16,3.26,2.18,2012-01-21,E2,0.0,1.0,H,H,Charlton,,,,1.18,True
5097,4.2,10.2,0.0,7.4,3.0,1.0,0.2,1.0,0.2,0.4,0.4,5.8,10.2,0.0,13.6,5.2,0.0,0.2,0.0,0.8,0.2,1.4,3.33,12.0,0.0,8.0,3.33,1.33,0.0,0.67,0.0,0.67,0.33,5.67,9.33,0.0,13.33,5.67,0.0,0.0,0.0,1.0,0.0,2.0,6.0,8.6,0.0,10.0,5.0,1.4,2.2,1.2,0.6,0.0,0.4,6.0,9.2,0.0,7.8,5.0,1.2,0.6,0.4,0.4,0.2,2.2,6.0,9.67,0.0,12.0,6.67,1.33,2.67,1.0,0.67,0.0,0.33,6.0,8.33,0.0,6.67,5.33,1.33,0.67,0.33,0.33,0.33,2.67,Rochdale,3.01,3.22,2.28,2012-01-21,E2,0.0,3.0,H,H,Wycombe,,,,1.28,True
5103,6.4,9.8,0.0,12.8,8.2,2.8,2.8,1.0,0.6,0.4,0.0,5.8,10.8,0.0,14.4,6.6,1.6,0.2,1.0,0.0,0.0,1.6,5.67,10.0,0.0,13.33,9.67,2.33,2.33,1.33,0.33,0.67,0.0,6.33,11.33,0.0,16.0,8.0,1.67,0.0,1.0,0.0,0.0,2.0,4.4,10.4,0.4,5.4,2.0,2.2,0.6,0.8,0.2,0.4,0.4,6.2,14.4,0.4,9.4,4.6,0.2,0.4,0.2,0.4,0.4,1.6,5.33,10.33,0.33,4.67,2.33,2.33,0.67,0.67,0.33,0.33,0.33,4.33,17.0,0.67,8.33,3.33,0.33,0.33,0.33,0.33,0.33,1.33,Milton Keynes Dons,2.74,3.21,2.48,2012-01-24,E2,2.0,4.0,H,D,Stevenage,,,,1.48,True
5104,6.8,9.2,0.0,8.8,4.0,1.4,1.6,0.8,0.6,0.4,0.0,2.8,11.2,0.0,8.8,4.4,1.0,0.4,0.8,0.0,0.2,1.8,7.0,8.0,0.0,9.67,4.67,1.0,2.0,1.33,0.33,0.67,0.0,3.0,11.33,0.0,11.0,6.33,1.0,0.67,0.67,0.0,0.33,2.33,6.0,6.6,0.0,9.6,5.4,0.6,1.4,0.8,0.4,0.6,0.0,7.4,9.6,0.0,13.2,7.4,0.6,0.4,0.2,0.8,0.0,1.0,7.0,6.67,0.0,10.33,5.33,1.0,1.33,0.67,0.33,0.67,0.0,7.33,9.33,0.0,12.0,6.67,0.67,0.33,0.33,0.67,0.0,1.0,Bournemouth,2.13,3.32,3.26,2012-01-27,E2,0.0,1.0,H,D,Chesterfield,,,,2.26,True
5116,7.8,9.4,0.0,12.4,6.4,1.4,1.2,1.2,0.2,0.6,0.2,5.2,12.6,0.0,10.4,4.2,0.6,1.0,0.0,0.6,0.4,1.0,8.67,8.67,0.0,13.33,8.0,2.0,2.0,1.67,0.33,0.67,0.0,3.33,12.0,0.0,11.0,4.67,1.0,1.33,0.0,0.67,0.33,0.67,2.8,12.6,0.0,9.0,5.2,1.6,1.0,0.6,0.8,0.0,0.2,6.0,9.4,0.0,10.4,6.2,0.8,0.0,0.8,0.2,0.0,0.6,2.33,12.67,0.0,8.67,4.67,1.67,1.0,1.0,0.67,0.0,0.33,6.33,11.33,0.0,10.0,5.67,0.67,0.0,0.67,0.33,0.0,1.0,Carlisle,2.42,3.21,2.8,2012-01-28,E2,0.0,4.0,H,H,Hartlepool,,,,1.8,True
5118,4.8,11.8,0.2,9.2,5.4,2.6,2.0,1.8,0.6,0.0,0.4,5.0,8.8,0.2,11.8,5.0,0.6,1.2,0.2,0.2,0.6,1.6,4.0,12.33,0.0,9.0,5.0,3.0,1.33,2.33,0.33,0.0,0.67,5.33,10.0,0.0,12.33,5.67,0.0,1.67,0.0,0.0,1.0,2.0,5.2,10.0,0.2,12.6,7.0,0.8,2.0,0.6,0.6,0.4,0.0,8.8,8.6,0.2,12.8,6.6,0.8,0.2,0.6,0.4,0.0,1.4,5.67,11.67,0.33,14.67,7.33,0.67,2.0,0.67,0.33,0.67,0.0,9.0,9.0,0.33,13.33,6.67,0.67,0.33,0.33,0.67,0.0,1.0,Bury,2.74,3.22,2.46,2012-01-28,E2,0.0,3.0,H,H,Rochdale,,,,1.46,True
5120,2.8,14.4,0.0,5.6,3.2,2.0,0.6,0.4,0.4,0.4,0.2,7.0,7.2,0.0,10.8,6.2,0.6,0.4,0.4,0.4,0.2,0.4,2.33,16.33,0.0,4.33,2.0,2.33,0.67,0.33,0.33,0.67,0.0,7.33,8.0,0.0,10.33,5.67,0.67,0.33,0.33,0.67,0.0,0.67,7.2,11.4,0.0,9.4,2.8,1.8,1.8,1.6,0.4,0.2,0.4,5.6,13.8,0.0,9.4,4.6,1.2,0.6,0.4,0.6,0.0,3.2,8.67,12.33,0.0,10.67,4.0,2.0,2.33,1.67,0.67,0.0,0.33,4.67,13.67,0.0,10.0,4.67,1.33,0.67,0.33,0.67,0.0,2.67,Preston,2.51,3.23,2.66,2012-01-28,E2,1.0,2.0,H,H,Yeovil,,,,1.66,True
5129,5.6,8.8,0.0,9.0,5.2,1.6,0.6,1.0,0.2,0.4,0.4,6.8,10.0,0.0,12.2,6.8,0.2,0.4,0.0,0.8,0.2,1.2,5.33,8.67,0.0,8.0,4.67,2.0,0.33,0.33,0.33,0.33,0.33,7.33,9.67,0.0,14.0,7.67,0.0,0.0,0.0,1.0,0.0,1.33,4.0,11.0,0.0,13.2,7.6,2.6,2.6,2.2,0.6,0.0,0.4,8.2,9.0,0.0,13.6,7.8,0.8,1.0,0.2,0.4,0.4,0.6,4.0,9.33,0.0,13.33,7.33,1.67,2.33,2.0,0.67,0.0,0.33,7.67,11.0,0.0,13.33,6.67,1.0,0.67,0.33,0.33,0.33,1.0,Derby,3.01,3.26,2.31,2012-01-31,E1,2.0,3.0,H,H,Barnsley,,,,1.31,True
5133,4.6,10.0,0.4,9.2,3.8,2.8,1.0,1.2,0.4,0.2,0.4,7.2,10.4,0.2,12.6,6.8,0.8,0.4,0.6,0.2,0.2,1.4,4.67,10.0,0.0,10.67,4.33,3.33,1.0,1.0,0.33,0.33,0.33,7.33,10.67,0.33,13.33,7.67,1.0,0.67,0.67,0.0,0.33,1.0,7.0,11.0,0.0,12.2,6.8,1.2,2.0,1.4,0.6,0.2,0.2,6.8,8.2,0.0,14.8,8.4,0.4,0.4,0.2,0.4,0.4,0.8,5.33,11.0,0.0,12.33,6.0,1.0,1.67,1.33,0.33,0.33,0.33,6.33,9.0,0.0,15.67,8.33,0.67,0.33,0.33,0.33,0.33,1.0,West Ham,1.95,3.43,3.74,2012-01-31,E1,1.0,5.0,H,H,Ipswich,,,,2.74,True
5161,5.4,9.6,0.4,11.0,3.6,0.8,1.4,1.2,0.4,0.2,0.4,3.2,7.8,0.0,11.4,5.8,1.2,0.4,0.6,0.4,0.0,0.6,5.67,9.33,0.33,13.0,3.67,1.33,1.67,1.0,0.67,0.0,0.33,3.0,9.0,0.0,11.33,6.0,1.67,0.33,1.0,0.0,0.0,0.0,7.4,10.8,0.2,10.2,5.2,1.8,0.4,1.6,0.2,0.0,0.8,4.2,7.4,0.6,7.2,3.2,0.4,0.6,0.2,0.4,0.4,1.0,7.0,10.0,0.33,10.33,7.0,1.67,0.33,1.67,0.33,0.0,0.67,3.67,7.0,1.0,9.33,4.0,0.33,0.33,0.33,0.33,0.33,1.33,Leicester,2.45,3.21,2.8,2012-02-04,E1,0.0,1.0,H,D,Brighton,,,,1.8,True
5167,4.8,11.2,0.2,8.8,4.6,1.4,1.6,1.6,0.6,0.0,0.4,7.0,9.8,0.0,12.4,7.4,1.2,0.6,0.6,0.0,0.4,1.8,5.67,12.33,0.0,8.33,4.33,1.33,0.67,1.33,0.33,0.0,0.67,7.0,8.67,0.0,11.0,6.67,0.67,1.0,0.33,0.0,0.67,2.0,5.4,9.0,0.2,9.2,3.8,1.4,1.4,1.8,0.2,0.6,0.2,5.2,11.8,0.0,9.8,6.0,0.4,1.0,0.0,0.4,0.6,0.8,5.67,10.0,0.33,8.67,4.0,2.33,1.33,2.0,0.33,0.33,0.33,6.67,11.0,0.0,10.67,7.0,0.33,0.67,0.0,0.67,0.33,1.0,Barnsley,3.43,3.27,2.09,2012-02-04,E1,1.0,2.0,H,H,Watford,,,,1.09,True
5172,6.0,11.8,0.0,7.2,3.8,1.4,0.8,2.2,0.0,0.0,1.0,4.6,14.2,0.2,11.0,6.0,0.4,1.4,0.0,0.2,0.8,1.2,5.33,14.33,0.0,7.67,3.67,1.33,1.0,2.0,0.0,0.0,1.0,5.33,13.0,0.0,13.0,6.33,0.67,1.67,0.0,0.33,0.67,1.33,6.0,9.0,0.0,9.2,4.8,1.2,2.0,1.8,0.4,0.0,0.6,6.8,8.6,0.0,8.4,5.8,1.0,0.8,0.2,0.4,0.4,1.8,6.0,10.33,0.0,9.0,6.0,1.0,2.33,1.0,0.67,0.0,0.33,6.67,8.0,0.0,5.67,4.67,1.0,0.33,0.33,0.33,0.33,1.0,Tranmere,2.67,3.25,2.5,2012-02-04,E2,1.0,2.0,H,H,Wycombe,,,,1.5,True
5196,5.4,9.6,0.0,7.6,3.2,1.4,0.6,0.4,0.2,0.8,0.0,6.8,10.8,0.0,9.2,4.0,0.2,0.0,0.2,0.8,0.0,1.4,3.67,10.67,0.0,6.0,2.33,1.67,0.67,0.33,0.33,0.67,0.0,8.0,9.67,0.0,9.0,3.0,0.33,0.0,0.33,0.67,0.0,1.33,4.2,10.8,0.0,8.2,4.2,1.6,1.4,1.2,0.2,0.8,0.0,7.2,9.2,0.0,10.0,5.0,1.0,0.6,0.4,0.6,0.0,2.0,4.0,12.0,0.0,10.33,5.0,2.0,1.67,1.33,0.33,0.67,0.0,6.33,9.33,0.0,11.0,6.33,1.33,1.0,0.33,0.67,0.0,2.33,Cardiff,3.07,3.26,2.24,2012-02-11,E1,1.0,2.0,H,H,Leicester,,,,1.24,True
5201,6.4,12.2,0.0,8.2,4.0,1.8,1.8,0.8,0.6,0.2,0.2,5.4,8.4,0.0,8.0,3.6,1.0,0.2,0.4,0.6,0.0,1.4,8.0,10.67,0.0,8.33,4.67,1.67,2.0,0.67,0.67,0.33,0.0,4.67,7.0,0.0,7.0,3.33,1.67,0.33,0.67,0.33,0.0,1.0,5.8,10.2,0.0,6.4,3.8,1.4,0.4,0.8,0.2,0.6,0.2,4.2,8.6,0.0,8.6,4.6,0.2,0.2,0.2,0.6,0.2,0.6,5.0,12.0,0.0,4.67,1.67,1.67,0.67,0.33,0.33,0.67,0.0,4.33,7.33,0.0,9.33,5.0,0.33,0.0,0.33,0.67,0.0,0.67,Sheffield Weds,2.02,3.32,3.5,2012-02-11,E2,1.0,2.0,H,D,Exeter,,,,2.5,True
5214,6.0,10.2,0.0,13.4,7.2,1.4,1.2,1.4,0.2,0.4,0.4,4.4,12.6,0.6,9.8,5.8,0.2,0.6,0.2,0.2,0.6,1.0,4.67,8.33,0.0,14.0,8.33,1.67,1.67,1.67,0.33,0.33,0.33,5.33,13.33,1.0,10.0,6.67,0.33,0.67,0.33,0.0,0.67,1.0,6.8,7.6,0.4,15.0,10.4,1.2,1.0,1.6,0.4,0.0,0.6,5.6,13.8,0.0,11.2,5.0,0.2,0.8,0.0,0.4,0.6,1.4,7.67,6.67,0.67,12.0,8.33,1.67,1.33,2.33,0.33,0.0,0.67,6.0,16.0,0.0,10.33,5.33,0.33,1.33,0.0,0.0,1.0,1.67,Leeds,2.36,3.27,2.93,2012-02-14,E1,1.0,2.0,H,D,Coventry,,,,1.93,True
5219,5.2,9.6,0.8,10.8,3.6,1.0,1.2,1.2,0.4,0.0,0.6,2.8,8.8,0.2,11.4,5.6,1.2,0.4,0.6,0.4,0.0,0.8,5.33,11.0,1.0,10.33,3.33,1.33,1.33,0.67,0.67,0.0,0.33,3.0,10.33,0.33,11.67,5.0,1.33,0.33,0.67,0.33,0.0,1.0,4.8,10.8,0.2,8.4,3.4,2.0,1.2,1.8,0.2,0.4,0.4,5.4,11.0,0.0,10.6,6.4,0.2,0.8,0.0,0.4,0.6,1.0,3.33,12.33,0.33,6.67,3.33,3.0,1.33,2.33,0.33,0.0,0.67,5.33,10.33,0.0,11.0,6.0,0.33,1.0,0.0,0.33,0.67,1.0,Leicester,2.36,3.23,2.96,2012-02-14,E1,2.0,3.0,H,D,Watford,,,,1.96,True
5229,4.4,9.6,0.0,7.4,2.6,1.4,1.0,1.4,0.2,0.4,0.4,5.2,7.2,0.0,11.8,5.6,0.2,0.6,0.2,0.6,0.2,0.2,5.33,8.67,0.0,7.33,2.67,1.67,1.0,1.67,0.0,0.67,0.33,6.33,5.33,0.0,12.67,6.33,0.0,1.0,0.0,0.67,0.33,0.0,8.6,11.6,0.0,13.0,7.8,1.4,1.8,1.2,0.4,0.4,0.2,4.8,12.2,0.2,8.4,4.4,1.0,0.6,0.2,0.8,0.0,2.0,7.33,10.67,0.0,11.33,7.0,0.67,2.0,1.0,0.67,0.0,0.33,5.0,11.67,0.33,7.0,4.0,1.0,0.33,0.33,0.67,0.0,1.33,Hartlepool,3.22,3.28,2.15,2012-02-14,E2,0.0,1.0,H,D,Preston,,,,1.15,True
