,A_FIVE_AC,A_FIVE_AF,A_FIVE_AR,A_FIVE_AS,A_FIVE_AST,A_FIVE_AY,A_FIVE_FTAG,A_FIVE_FTHG,A_FIVE_FTR_A,A_FIVE_FTR_D,A_FIVE_FTR_H,A_FIVE_HC,A_FIVE_HF,A_FIVE_HR,A_FIVE_HS,A_FIVE_HST,A_FIVE_HTAG,A_FIVE_HTHG,A_FIVE_HTR_A,A_FIVE_HTR_D,A_FIVE_HTR_H,A_FIVE_HY,A_THREE_AC,A_THREE_AF,A_THREE_AR,A_THREE_AS,A_THREE_AST,A_THREE_AY,A_THREE_FTAG,A_THREE_FTHG,A_THREE_FTR_A,A_THREE_FTR_D,A_THREE_FTR_H,A_THREE_HC,A_THREE_HF,A_THREE_HR,A_THREE_HS,A_THREE_HST,A_THREE_HTAG,A_THREE_HTHG,A_THREE_HTR_A,A_THREE_HTR_D,A_THREE_HTR_H,A_THREE_HY,H_FIVE_AC,H_FIVE_AF,H_FIVE_AR,H_FIVE_AS,H_FIVE_AST,H_FIVE_AY,H_FIVE_FTAG,H_FIVE_FTHG,H_FIVE_FTR_A,H_FIVE_FTR_D,H_FIVE_FTR_H,H_FIVE_HC,H_FIVE_HF,H_FIVE_HR,H_FIVE_HS,H_FIVE_HST,H_FIVE_HTAG,H_FIVE_HTHG,H_FIVE_HTR_A,H_FIVE_HTR_D,H_FIVE_HTR_H,H_FIVE_HY,H_THREE_AC,H_THREE_AF,H_THREE_AR,H_THREE_AS,H_THREE_AST,H_THREE_AY,H_THREE_FTAG,H_THREE_FTHG,H_THREE_FTR_A,H_THREE_FTR_D,H_THREE_FTR_H,H_THREE_HC,H_THREE_HF,H_THREE_HR,H_THREE_HS,H_THREE_HST,H_THREE_HTAG,H_THREE_HTHG,H_THREE_HTR_A,H_THREE_HTR_D,H_THREE_HTR_H,H_THREE_HY,INFO_AwayTeam,INFO_BbAvA,INFO_BbAvD,INFO_BbAvH,INFO_Date,INFO_Div,INFO_FTAG,INFO_FTHG,INFO_FTR,INFO_HTR,INFO_HomeTeam,INFO_PSA,INFO_PSD,INFO_PSH,INFO_WIN,pred
709,4.8,13.2,0.0,15.6,5.8,2.2,1.0,1.4,0.2,0.2,0.6,4.0,18.0,0.2,11.8,4.8,0.4,0.6,0.2,0.2,0.6,1.4,4.0,14.0,0.0,16.0,6.67,3.0,1.33,1.33,0.33,0.0,0.67,3.33,19.0,0.33,11.0,4.0,0.67,0.67,0.33,0.0,0.67,1.67,5.6,16.6,0.0,15.6,4.0,1.6,1.2,1.2,0.4,0.2,0.4,7.4,12.6,0.0,17.0,5.6,0.4,0.8,0.2,0.2,0.6,1.4,6.33,16.67,0.0,16.0,4.0,1.33,1.67,0.67,0.67,0.33,0.0,8.33,12.33,0.0,16.0,4.67,0.67,0.67,0.33,0.33,0.33,1.33,Stuttgart,2.51,3.27,2.68,2009-11-07,D1,0.0,0.0,D,D,M'gladbach,,,,-1.0,True
710,4.8,14.0,0.0,13.4,4.4,2.0,1.2,1.2,0.4,0.2,0.4,4.8,16.0,0.0,10.0,3.4,0.6,0.4,0.4,0.4,0.2,2.2,4.67,12.0,0.0,13.67,3.33,1.67,1.0,1.33,0.33,0.0,0.67,4.0,16.33,0.0,8.67,2.33,0.33,0.67,0.33,0.33,0.33,2.33,2.2,18.2,0.0,8.4,2.6,2.6,0.8,0.8,0.2,0.6,0.2,8.4,18.2,0.0,17.6,4.2,0.2,0.2,0.2,0.6,0.2,1.2,2.33,17.67,0.0,9.0,2.67,1.67,0.33,0.67,0.0,0.67,0.33,5.67,18.33,0.0,18.33,3.33,0.0,0.0,0.0,1.0,0.0,1.33,Bordeaux,2.68,2.99,2.67,2009-11-08,F1,0.0,2.0,H,D,Lille,,,,1.67,True
712,3.4,18.2,0.4,14.0,5.2,1.6,1.4,0.8,0.2,0.6,0.2,4.8,14.4,0.2,15.0,3.6,1.0,0.6,0.2,0.6,0.2,1.6,3.33,19.0,0.0,13.33,5.67,1.67,1.33,0.33,0.33,0.33,0.33,4.67,13.0,0.0,17.0,2.67,1.0,0.33,0.33,0.33,0.33,2.0,4.6,16.4,0.0,9.6,3.2,1.2,0.6,1.2,0.4,0.0,0.6,5.6,15.8,0.0,16.4,6.2,0.2,0.4,0.0,0.8,0.2,1.2,6.0,15.0,0.0,11.0,3.67,1.67,0.33,1.0,0.33,0.0,0.67,5.0,13.33,0.0,15.67,5.33,0.0,0.33,0.0,0.67,0.33,1.33,Rennes,3.19,2.96,2.33,2009-11-08,F1,2.0,3.0,H,D,Toulouse,,,,1.33,True
723,7.6,13.2,0.0,9.4,5.8,1.8,1.2,2.0,0.0,0.6,0.4,4.2,10.8,0.0,11.4,5.4,0.4,1.0,0.2,0.2,0.6,0.4,6.33,13.0,0.0,5.0,2.67,1.67,1.33,2.0,0.0,0.67,0.33,4.67,9.67,0.0,11.33,4.67,0.33,1.33,0.0,0.33,0.67,0.33,4.4,11.4,0.2,11.6,7.6,2.0,1.4,1.0,0.4,0.2,0.4,6.0,11.6,0.0,12.0,6.4,0.2,0.2,0.2,0.6,0.2,1.0,4.33,12.0,0.33,14.0,9.0,1.67,2.33,0.67,0.67,0.33,0.0,5.67,11.33,0.0,13.33,6.67,0.33,0.0,0.33,0.67,0.0,1.0,Carlisle,3.53,3.27,2.0,2009-11-14,E2,2.0,3.0,H,D,Bristol Rvs,,,,1.0,True
726,3.8,12.4,0.0,8.2,4.6,1.8,0.8,0.4,0.4,0.4,0.2,9.4,14.4,0.0,12.8,5.4,0.0,0.2,0.0,0.8,0.2,0.6,3.67,12.33,0.0,9.0,5.0,2.33,1.0,0.0,0.67,0.33,0.0,9.33,15.0,0.0,12.33,5.0,0.0,0.0,0.0,1.0,0.0,0.67,2.6,10.0,0.2,8.4,3.2,2.4,0.8,2.0,0.0,0.4,0.6,6.0,10.0,0.0,10.4,5.8,0.2,1.2,0.0,0.2,0.8,2.0,2.33,10.0,0.33,9.67,3.33,2.67,1.33,1.67,0.0,0.67,0.33,6.67,11.33,0.0,10.33,6.33,0.33,1.0,0.0,0.33,0.67,3.33,Oldham,2.93,3.26,2.26,2009-11-14,E2,0.0,1.0,H,D,Gillingham,,,,1.26,True
731,5.6,13.8,0.2,9.0,4.6,2.4,1.6,1.6,0.4,0.0,0.6,4.0,15.4,0.2,9.6,5.8,0.8,0.8,0.2,0.6,0.2,1.8,3.67,16.0,0.0,9.33,4.67,2.67,1.33,1.33,0.33,0.0,0.67,2.0,18.0,0.33,8.0,5.33,0.67,0.33,0.33,0.67,0.0,2.67,5.2,16.4,0.0,5.4,2.0,2.0,1.2,1.8,0.2,0.4,0.4,5.0,10.0,0.2,8.6,3.6,1.0,1.0,0.6,0.0,0.4,2.0,5.67,21.33,0.0,5.67,2.0,2.67,1.0,2.33,0.0,0.33,0.67,4.67,10.67,0.0,10.0,4.0,0.67,1.33,0.33,0.0,0.67,1.67,Southend,2.78,3.24,2.38,2009-11-14,E2,0.0,1.0,H,D,Yeovil,,,,1.38,True
735,7.8,15.2,0.0,8.0,3.8,2.8,1.0,2.0,0.4,0.0,0.6,4.8,12.2,0.2,9.0,6.0,0.6,0.6,0.4,0.2,0.4,1.0,5.67,14.33,0.0,7.33,3.67,3.0,1.0,2.67,0.33,0.0,0.67,5.33,13.67,0.33,11.0,7.67,0.67,0.67,0.33,0.33,0.33,1.33,4.8,14.6,0.0,11.8,7.0,2.8,1.0,0.8,0.4,0.2,0.4,5.4,14.0,0.0,11.2,5.4,0.6,0.4,0.2,0.6,0.2,2.0,4.33,12.33,0.0,11.33,7.33,3.33,1.33,1.33,0.33,0.0,0.67,6.33,13.67,0.0,12.0,6.33,1.0,0.67,0.33,0.33,0.33,2.33,Milton Keynes Dons,2.37,3.25,2.83,2009-11-20,E2,1.0,2.0,H,D,Southend,,,,1.83,True
736,5.4,18.2,0.0,13.2,4.8,3.0,1.6,1.0,0.6,0.0,0.4,6.0,20.4,0.2,16.0,4.4,1.0,0.4,0.6,0.2,0.2,1.4,6.67,15.33,0.0,13.0,5.0,3.33,1.67,1.0,0.67,0.0,0.33,7.33,18.67,0.33,17.33,5.33,1.0,0.0,0.67,0.33,0.0,1.33,5.6,14.4,0.4,12.8,4.2,1.2,0.6,2.0,0.0,0.0,1.0,3.6,15.0,0.2,9.4,4.4,0.4,0.8,0.2,0.4,0.4,1.4,6.0,13.33,0.33,14.67,4.67,1.0,1.0,2.0,0.0,0.0,1.0,3.67,13.67,0.0,10.0,4.67,0.67,1.0,0.33,0.33,0.33,1.67,Monaco,3.23,3.05,2.26,2009-11-21,F1,0.0,2.0,H,H,Auxerre,,,,1.26,True
739,3.4,15.8,0.2,8.6,3.6,1.6,1.4,1.8,0.4,0.2,0.4,5.6,17.2,0.0,15.4,4.6,0.4,0.8,0.0,0.6,0.4,1.4,2.33,15.33,0.33,6.67,3.33,1.0,1.67,1.0,0.67,0.33,0.0,5.67,15.0,0.0,15.33,4.33,0.67,0.67,0.0,1.0,0.0,2.0,4.4,16.6,0.4,13.6,2.8,2.2,1.6,0.8,0.4,0.6,0.0,4.2,15.4,0.2,12.4,4.6,0.8,0.2,0.6,0.4,0.0,1.6,4.0,17.67,0.0,12.67,2.67,2.67,1.67,0.33,0.67,0.33,0.0,3.67,15.33,0.0,13.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,Nancy,3.01,3.03,2.39,2009-11-21,F1,1.0,2.0,H,D,Lens,,,,1.39,True
748,3.2,9.4,0.4,10.8,5.8,2.0,2.4,1.8,0.6,0.0,0.4,9.2,12.2,0.0,15.6,9.0,1.4,1.0,0.2,0.8,0.0,1.2,4.33,9.67,0.0,13.33,7.67,1.67,3.33,2.0,0.67,0.0,0.33,9.67,14.67,0.0,15.0,9.0,2.0,1.33,0.33,0.67,0.0,1.67,6.4,13.4,0.0,11.2,4.2,1.2,1.4,1.8,0.2,0.4,0.4,6.2,14.0,0.2,12.0,5.2,0.6,0.6,0.2,0.6,0.2,1.2,5.67,14.33,0.0,12.0,4.67,1.67,2.0,2.0,0.33,0.33,0.33,7.67,13.67,0.33,13.33,6.0,1.0,0.33,0.33,0.67,0.0,1.0,Cardiff,2.3,3.24,2.94,2009-11-21,E1,0.0,1.0,H,D,Barnsley,,,,1.94,True
