HomeVictory,HomeDefeat,HomeDraw,HomeGoal,ExtVictory,ExtDefeat,ExtDraw,ExtGoal,Date,TrueResult,BetH,BetD,BetA
0.333333333333,0,0.666666666667,2.66666666667,0,0,1,1.66666666667,131025,D,1.62,4,5
1,0,0,2.33333333333,0,0.333333333333,0.666666666667,0.666666666667,131026,H,1.1,9,21
0.666666666667,0,0.333333333333,2.33333333333,0,0.666666666667,0.333333333333,1.66666666667,131026,A,2.3,3.5,2.9
0.666666666667,0,0.333333333333,2,0.333333333333,0.666666666667,0,1,131026,H,1.5,4.33,6
0,0.666666666667,0.333333333333,1,0.333333333333,0.666666666667,0,1,131026,H,1.57,4.1,5.25
0.666666666667,0.333333333333,0,2,0.333333333333,0.333333333333,0.333333333333,1,131026,A,4.2,3.6,1.83
0.666666666667,0.333333333333,0,1.33333333333,0.333333333333,0.333333333333,0.333333333333,1.33333333333,131026,H,1.62,3.75,5.5
0,0,1,1,0.333333333333,0.333333333333,0.333333333333,3,131027,A,2.6,3.4,2.6
1,0,0,3.33333333333,0.333333333333,0,0.666666666667,1.66666666667,131027,H,2.05,3.5,3.4
1,0,0,4,0.666666666667,0,0.333333333333,2.66666666667,131101,H,1.22,6,12
0,0.666666666667,0.333333333333,1,0.666666666667,0.333333333333,0,2,131102,H,7,4.33,1.44
0,0.333333333333,0.666666666667,1.33333333333,0.333333333333,0.666666666667,0,1,131102,A,2.3,3.4,3
0.333333333333,0.333333333333,0.333333333333,2.33333333333,0,0.666666666667,0.333333333333,1,131102,A,2.3,3.5,2.9
0.666666666667,0.333333333333,0,1.33333333333,0.666666666667,0,0.333333333333,2.33333333333,131102,A,2.3,3.4,3
0.333333333333,0.333333333333,0.333333333333,2,0.333333333333,0,0.666666666667,2,131102,A,12,6,1.25
0,0.666666666667,0.333333333333,0.333333333333,0,0.666666666667,0.333333333333,0.333333333333,131102,A,2,3.4,3.75
0.333333333333,0.333333333333,0.333333333333,1.66666666667,0,1,0,1,131103,H,2,3.5,3.6
0,0.333333333333,0.666666666667,1,0,1,0,0,131103,H,2.25,3.5,3
0.333333333333,0.333333333333,0.333333333333,1.33333333333,0.333333333333,0.666666666667,0,1,131108,D,1.62,3.8,5.5
1,0,0,2.66666666667,0,1,0,1,131109,H,1.13,8,19
0,0.666666666667,0.333333333333,1.66666666667,0,0.333333333333,0.666666666667,1.33333333333,131109,A,2.2,3.4,3.2
0.666666666667,0,0.333333333333,1.66666666667,0.666666666667,0,0.333333333333,3.33333333333,131109,H,1.5,4.33,6
1,0,0,3.33333333333,0,0,1,1.66666666667,131109,H,1.53,4.1,6
0.333333333333,0.666666666667,0,1.66666666667,0.333333333333,0.333333333333,0.333333333333,1,131109,H,1.57,4,5.5
0.666666666667,0.333333333333,0,1.66666666667,0.333333333333,0.333333333333,0.333333333333,1.33333333333,131109,H,4.5,3.8,1.73
0,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.333333333333,0.333333333333,2.66666666667,131110,A,3,3.4,2.3
0.333333333333,0.333333333333,0.333333333333,1.66666666667,0,0.333333333333,0.666666666667,1,131110,H,2.5,3.3,2.88
0,0,1,1,0.333333333333,0.333333333333,0.333333333333,1.33333333333,131122,A,2.3,3.5,2.9
0.333333333333,0.333333333333,0.333333333333,1.66666666667,0.333333333333,0.333333333333,0.333333333333,2.33333333333,131123,H,2.1,3.5,3.3
0.333333333333,0.666666666667,0,1,0.333333333333,0.333333333333,0.333333333333,1,131123,A,2.4,3.3,2.9
1,0,0,4,0.666666666667,0,0.333333333333,2.33333333333,131123,A,3.6,3.6,2
0,0.333333333333,0.666666666667,1.33333333333,0.666666666667,0,0.333333333333,2.66666666667,131123,D,2.6,3.4,2.6
0.666666666667,0.333333333333,0,1.33333333333,0.666666666667,0.333333333333,0,2,131123,A,3,3.25,2.38
0,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0,1.33333333333,131123,D,3.2,3.4,2.2
0,0.666666666667,0.333333333333,1,0,1,0,0.666666666667,131124,H,2,3.6,3.5
0.333333333333,0,0.666666666667,2,0,1,0,1,131124,A,2.38,3.4,2.88
0.666666666667,0.333333333333,0,1.66666666667,0.666666666667,0.333333333333,0,3.66666666667,131129,D,1.8,3.6,4.33
1,0,0,3.33333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,131130,H,1.06,15,51
0.333333333333,0.666666666667,0,0.333333333333,0,1,0,0.666666666667,131130,D,2,3.5,3.6
0,1,0,1.33333333333,0,0.666666666667,0.333333333333,0.666666666667,131130,D,1.8,3.75,4.2
0.666666666667,0,0.333333333333,2.66666666667,0,0.333333333333,0.666666666667,1,131130,H,1.44,4.5,6.5
0.666666666667,0,0.333333333333,1.66666666667,0.333333333333,0.666666666667,0,1.33333333333,131130,A,5,4.33,1.57
0.666666666667,0.333333333333,0,2.66666666667,0.333333333333,0.333333333333,0.333333333333,2.33333333333,131130,H,1.67,3.8,5
0,0.333333333333,0.666666666667,0.666666666667,0,0.666666666667,0.333333333333,0.666666666667,131201,H,2.4,3.4,2.8
1,0,0,3,0.666666666667,0,0.333333333333,1.33333333333,131201,H,1.4,4.33,8.5
0,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0,1.66666666667,131206,D,2.6,3.2,2.75
0.666666666667,0.333333333333,0,2.33333333333,0.666666666667,0.333333333333,0,1,131207,A,1.5,4.33,6
0,0.333333333333,0.666666666667,1.66666666667,0.333333333333,0.333333333333,0.333333333333,2,131207,A,2.1,3.6,3.25
